"","track_id","track_artist","track_name","popularity","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","explicit","track_length","duration_min","mode_fct","key_fct","genre"
"4951","5eHZlYb0S4zolSyCdRNMTB","Bobby Timmons","Soul Time","0",0.596,0.327,7,-15.088,0,0.0556,0.766,0.776,0.155,0.766,101.764,382693,FALSE,6M 22.693S,6M 23S,"Minor","G"," soul jazz"
"4952","5eHZlYb0S4zolSyCdRNMTB","Bobby Timmons","Soul Time","0",0.596,0.327,7,-15.088,0,0.0556,0.766,0.776,0.155,0.766,101.764,382693,FALSE,6M 22.693S,6M 23S,"Minor","G"," stride"
"4953","6VuXgNzoaBjOrhmzAAsvP3","Laika & The Cosmonauts","Soulmate","0",0.49,0.665,4,-8.616,1,0.037,0.0337,0.586,0.247,0.487,110.35,254293,FALSE,4M 14.293S,4M 14S,"Major","E","indie surf"
"4954","6VuXgNzoaBjOrhmzAAsvP3","Laika & The Cosmonauts","Soulmate","0",0.49,0.665,4,-8.616,1,0.037,0.0337,0.586,0.247,0.487,110.35,254293,FALSE,4M 14.293S,4M 14S,"Major","E"," instrumental rock"
"4955","6VuXgNzoaBjOrhmzAAsvP3","Laika & The Cosmonauts","Soulmate","0",0.49,0.665,4,-8.616,1,0.037,0.0337,0.586,0.247,0.487,110.35,254293,FALSE,4M 14.293S,4M 14S,"Major","E"," instrumental surf"
"4956","6VuXgNzoaBjOrhmzAAsvP3","Laika & The Cosmonauts","Soulmate","0",0.49,0.665,4,-8.616,1,0.037,0.0337,0.586,0.247,0.487,110.35,254293,FALSE,4M 14.293S,4M 14S,"Major","E"," rautalanka"
"4957","6VuXgNzoaBjOrhmzAAsvP3","Laika & The Cosmonauts","Soulmate","0",0.49,0.665,4,-8.616,1,0.037,0.0337,0.586,0.247,0.487,110.35,254293,FALSE,4M 14.293S,4M 14S,"Major","E"," surf music"
"4958","4Vg5Jr8eyHraUYTW9hHaht","Jin Riko","Sound For Tomorrow","0",0.726,0.338,9,-17.574,0,0.443,0.0256,0.936,0.0983,0.961,85.074,120661,FALSE,2M 0.661000000000001S,2M 1S,"Minor","A","uncategorised"
"4959","49BFli1pKx972m8mUUdfkM","Ocean Waves For Sleep","Sound of Nature: The Sea","0",0.253,0.0491,9,-24.806,1,0.0423,0.894,0.898,0.366,0.0638,102.734,196752,FALSE,3M 16.752S,3M 17S,"Major","A","uncategorised"
"4960","5qumtaYYBxzQQAzCHzNe5j","Winds and Oceans","Sound of Nature: The Tidal Surge","0",0.166,0.409,11,-28.651,0,0.1,0.22,0.465,0.52,0.000635,123.042,130612,FALSE,2M 10.612S,2M 11S,"Minor","B","uncategorised"
